DATA FORMAT: (energy [keV], intensity [per cm^{2} s keV])
I_0(E) 							 I(E) South Pole 			 I(E) North Pole
(20.5467,13530256.0522) 	 (20.5467,474618.4232) 	 (20.5467,4120860.0224)
(26.8270,14961809.0073) 	 (26.8270,828562.0503) 	 (26.8270,4952140.3887)
(34.4096,16034008.1401) 	 (34.4096,1280929.0898) 	 (34.4096,5818469.3162)
(44.9272,16937349.8794) 	 (44.9272,1928910.8631) 	 (44.9272,6895656.1436)
(59.7120,17439758.4397) 	 (59.7120,2819569.3915) 	 (59.7120,8184860.6690)
(75.2398,17517048.2114) 	 (75.2398,3711271.8972) 	 (75.2398,9365354.3963)
(105.4790,17142172.0497) 	 (105.4790,5025182.9405) 	 (105.4790,10953383.2677)
(128.2650,16356362.4657) 	 (128.2650,4879675.3056) 	 (128.2650,10463032.8648)
(147.8714,15270680.6640) 	 (147.8714,4623942.5728) 	 (147.8714,9777978.8277)
(170.4748,14009094.8654) 	 (170.4748,4314027.4496) 	 (170.4748,8980164.2339)
(196.5334,12658295.3964) 	 (196.5334,3973153.2258) 	 (196.5334,8124678.3433)
(222.5822,11302282.8528) 	 (222.5822,3614559.0175) 	 (222.5822,7263617.1899)
(256.6058,9988154.5033) 	 (256.6058,3271659.0862) 	 (256.6058,6429792.3780)
(295.8302,8716242.4833) 	 (295.8302,2932876.1634) 	 (295.8302,5621797.9799)
(353.3967,7477555.9689) 	 (353.3967,2614078.7385) 	 (353.3967,4836453.8525)
(400.2364,6279919.5330) 	 (400.2364,2262365.0279) 	 (400.2364,4071109.3525)
(486.6970,5122411.4055) 	 (486.6970,1946198.8550) 	 (486.6970,3334702.3200)
(561.0929,4014988.3123) 	 (561.0929,1593450.3996) 	 (561.0929,2623192.7810)
(646.8608,2992013.6070) 	 (646.8608,1245880.3534) 	 (646.8608,1962929.9609)
(1122.5173,2098880.8333) 	 (1122.5173,1055594.3181) 	 (1122.5173,1407882.0502)
(4655.3643,1361500.0548) 	 (4655.3643,925480.9980) 	 (4655.3643,1053714.7728)
